index,name,summary,genre,subgenre,home,audio,title_and_location,date,event_time,venue
890,Julie Odell,"Julie Odell is a New Orleans artist who writes songs with surprising turns and sudden drop offs, one minute belting lyrics with all her being on top of crunchy hollow-body guitar, then interluding into delicate ethereal melodies barely fingerpicking the guitar and leaning into her band (Kenny Murphy on bass, Jonathan Arceneaux on drums) for soft yet powerful support, which then builds into an unexpected groove and into a dreamy swamp pop ending.  Multiple stories take place in each song which is the main reasoning behind her chaos/calm/chaos style of writing, meant to portray the ups and downs of life.  
Odell is currently working on her debut full length album to be released springtime 2019.  Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Sync/Music Supervisors",Rock,Indie Rock,"New Orleans, LA",http://audio.sxsw.com/2019/mp3_by_artist_id/5b0c0e0cdbdb07a63f4cb8e49f24209ac16368e94629ba66e85f5e82306028a1.mp3,Julie Odell at CU29,"Mar 12, 2019",9:00pm-9:40pm,CU29
891,June's Diary,"June’s Diary​ is an all-female R&B-Pop vocal group ​formed by singer Kelly Rowland and director/choreographer Frank Gatson Jr. on the BET Networks docu-series ​Chasing Destiny​ in 2016. ​The dynamic quintet consists of performers Kristal Smith, Ashly Williams, Gabby Zike, Shyann Roberts, and Brienna DeVlugt – each hand-selected by Rowland and Gatson Jr. from a pool of 600 contestants from across the U.S. The group’s name is an ode to its official birth month and its journey to telling each member’s story, page by page, as one cohesive voice. June’s Diary’s debut EP ​All Of Us​ was released in June 2018 and peaked at #1 on the iTunes R&B/Soul chart, #19 on Top US Albums, and #18 on the Billboard Heatseekers chart – marking June’s Diary as the first R&B group to grace this chart since SWV in 1993.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",R & B,Soul,"Los Angeles, CA",http://audio.sxsw.com/2019/mp3_by_artist_id/810810e68425138b54b651ab5662f44bc8523935f988afb20bd9f793d9875f43.mp3,June's Diary at Sheraton BackYARD,"Mar 16, 2019",10:40pm-11:00pm,Sheraton BackYARD
892,Just Cuuz b2b M!ngo,No description provided for artist.,DJ,Electronic,"Austin, TX",,Just Cuuz b2b M!ngo at Plush,"Mar 13, 2019",1:30am-1:50am,Plush
893,Justin Townes Earle,No description provided for artist.,Americana,Americana,"Portland, OR",,Justin Townes Earle at Mohawk Indoor,"Mar 15, 2019",7:30pm-8:00pm,Mohawk Indoor
894,Just Loud,"Just Loud's infectious, funky new song ""Soul Train"" features a very special guest - Debbie Harry. In the new video, Just Loud and Debbie engage in a high-speed chase brought to life through '70s-inspired animation with a modern edge.
""I'm glad I had a minute to hang with Just Loud the other night in Brooklyn at my Vans show, says Debbie Harry. ""Glad to be doing a little bit on his latest single Soul Train. I actually performed on the TV show of the same name. I hope you all like the song.""
""Soul Train"" follows Just Loud's debut EP, Episode I, which launched earlier last year and has set him up to be an intriguing artist to watch in 2018.  Episode I features his debut single ""Electrified"", proving itself to be a hit - garnering over 4 million streams since the release as well as climbing the Alt Radio charts, where it reached the top 25.
With an impressive range and sense of introspection, Just Loud is making personal discoveries in real time - expressing himself, finding his voice, sharing his pain and glories - through his compelling and impactful art that transcends genres.
Just Loud's eponymous debut album is slated for release later this year and is now available for pre-order.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Other Artists to Tour With, Sync/Music Supervisors",Rock,Alternative,"Atlanta, GA",,Just Loud at Banger's,"Mar 14, 2019",6:00pm-6:40pm,Banger's
895,Jvcki Wai,No description provided for artist.,Hip-Hop / Rap,K-Pop,"Seoul, SOUTH KOREA",http://audio.sxsw.com/2019/mp3_by_artist_id/eb8492910603f810856ec0677881d2d7a4ebd2e6df5818baf2b6c5dc62d81bdc.mp3,Jvcki Wai at Cheer Up Charlie's,"Mar 15, 2019",9:00pm-9:40pm,Cheer Up Charlie's
896,Kabul Dreams,"Kabul Dreams is the first rock band from Afghanistan, establishing itself in Kabul in 2008 after the fall of the Taliban regime. As pioneers of rock in Afghanistan, the band has paved the way for a modest but growing rock scene in the country, rebuilding itself after decades of war. The band’s motivation to perform came from their own love for music, but also from a public hunger for a new life after war – a life that included new music and art. Since then, the band has released two albums with Grammy-winning sound engineer Alan Sanderson, and starred in the award-winning film ""Radio Dreams"" alongside Metallica's Lars Ulrich. Their musical influences include Sex Pistols, Metallica, Nirvana and Oasis. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Other Artists to Tour With, Booking Agent - Worldwide",Rock,Indie Rock,"Kabul, AFGHANISTAN",http://audio.sxsw.com/2019/mp3_by_artist_id/348d1aa581b3ec0c4118658c063e9df3dc030fc28ca38ce44ddb88d02ae2c39a.mp3,Kabul Dreams at Dirty Dog Bar,"Mar 13, 2019",8:00pm-8:40pm,Dirty Dog Bar
897,Kadesh Flow,"Kadesh Flow is a Billboard charting rapper, trombonist, and producer who has been wowing both suspecting and unsuspecting listeners with his musical versatility since his early teens. At age 11, 'Desh, as many of his listeners call him, began rapping and playing trombone within two weeks of one another. Now, Desh actively blends his jazz and hip hop backgrounds into riveting musical performances that boast personal, dexterous lyricism and bold, virtuosic trombone playing.
Kadesh's wide reaching content hops from socioeconomic musings to life bars that are laced with anime and video game references, some of which have led to placement opportunities with Toonami Asia and various documentaries and web series. He also boasts performances supporting artists such as Janelle Monae, Dave East, The Revivalists, Tech N9ne, Phora, Naughty by Nature, Caroline Shines, mc chris, I Fight Dragons, and numerous other prolific acts.
Kadesh is a member of the NPC (Nerdy People of Color) Collective, through which he is working with Founding Member Mega Ran and fellow NPCs such as Sammus and Richie Branson to both collaborate on fun, relevant content and foster a community for underrepresented 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Booking Agent - US, Booking Agent - UK/Europe, PR/Publicity Agency, Sync/Music Supervisors",Hip-Hop / Rap,Jazz,"Kansas City, MO",http://audio.sxsw.com/2019/mp3_by_artist_id/0d0fa87ab7a20b0163303b554e0d2da38524aeb57ea77ae8eb93346f161c88fd.mp3,Kadesh Flow at Flamingo Cantina,"Mar 16, 2019",8:25pm-8:50pm,Flamingo Cantina
898,Kagwe Mungai,"When he and his family moved to Johannesburg, South Africa, Kagwe Mungai formed both a jazz and rock band where he played drums and sang. He then began pursuing music as a career at age 13, recording songs and developing ideas with a four-track recorder. He was later introduced to Steve Jean, an accomplished music producer from Uganda who taught Kagwe the basics of production. Other influences include Moses Watatua - his music teacher - Michael Jackson, Pharrell Quincy Jones, Fela Kuti, Oliver Mutukudzi and more.
He then went to study music at the University of Southampton in England where he recorded and developed his debut mixtape, It Only Gets Better. This was accompanied by self-made videos for the singles, ""Oleku"" and ""Marry You"". In 2013 the music video for ""Oleku"" was successfully selected as the best Kenyan Oleku Cover in a survey held by Up Magazine. 
After the release of his hit banger single Super Seena, he is set to release his debut album, Spectrum, before the end of 2018 and he has assured his fans that this will be his best works yet.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",Hip-Hop / Rap,Pop,"Nairobi, KENYA",http://audio.sxsw.com/2019/mp3_by_artist_id/5a95dbcbbd704453e9d790d4a43ce05d800000e76f5089f7f24a780828cdbece.mp3,Kagwe Mungai at Highland Lounge,"Mar 15, 2019",None,Highland Lounge
899,Kai Exos,"Kai Exos is a singer and songwriter from Toronto, a native from Miami and currently writing and producing in LA. An advocate and soul music savant, Exos delivers universal messages through his work and the artists and brands he creates for. Across 2013 and 2014, he went on his first ever world tour for the critically-acclaimed debut album, Telegraph. Exos has played shows across North America and overseas including House of Blues, Rockwood, Piano Bar, Soho House, Sundance Film Festival, London UK, Indie Week Ireland, Sofar Sounds, Camp Wavelength, NXNE's Main Stage among other legendary venues. Most notably, Exos performed as the headliner of Cannes Lions Festival. The self-titled R&B iconoclast EP followed in spring 2018 along with tracks, ""Hold Out The Light"" and ""Fire & Brew"" - which accumulated 5MM+ worldwide streams and appeared on #14 on Billboard's Next Big Sound. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Publishing, Sync/Music Supervisors",R & B,Neo Soul,"Toronto, ON, CANADA",http://audio.sxsw.com/2019/mp3_by_artist_id/21299c3622157ae90ed159b650261a0c57a68402246cb8f804ab1676551d76d2.mp3,Kai Exos at Parker Jazz Club,"Mar 14, 2019",9:30pm-10:10pm,Parker Jazz Club
